날짜,지점,강수량(mm)
2018-11-01,108,
2018-11-02,108,
2018-11-03,108,
2018-11-04,108,
2018-11-05,108,
2018-11-06,108,
2018-11-07,108,2
2018-11-08,108,64
2018-11-09,108,1
2018-11-10,108,0
2018-11-11,108,0
2018-11-12,108,
2018-11-13,108,
2018-11-14,108,
2018-11-15,108,
2018-11-16,108,
2018-11-17,108,
2018-11-18,108,
2018-11-19,108,
2018-11-20,108,0.2
2018-11-21,108,1
2018-11-22,108,
2018-11-23,108,
2018-11-24,108,10.9
2018-11-25,108,
2018-11-26,108,
2018-11-27,108,
2018-11-28,108,
2018-11-29,108,0
2018-11-30,108,
2018-12-01,108,
2018-12-02,108,
2018-12-03,108,9.5
2018-12-04,108,5
2018-12-05,108,
2018-12-06,108,0
2018-12-07,108,
2018-12-08,108,
2018-12-09,108,
2018-12-10,108,
2018-12-11,108,
2018-12-12,108,
2018-12-13,108,1.3
2018-12-14,108,
2018-12-15,108,
2018-12-16,108,0.3
2018-12-17,108,0.3
2018-12-18,108,
2018-12-19,108,
2018-12-20,108,
2018-12-21,108,
2018-12-22,108,
2018-12-23,108,
2018-12-24,108,
2018-12-25,108,
2018-12-26,108,
2018-12-27,108,
2018-12-28,108,
2018-12-29,108,
2018-12-30,108,
2018-12-31,108,
2019-01-01,108,
2019-01-02,108,
2019-01-03,108,
2019-01-04,108,
2019-01-05,108,
2019-01-06,108,
2019-01-07,108,
2019-01-08,108,
2019-01-09,108,
2019-01-10,108,
2019-01-11,108,
2019-01-12,108,
2019-01-13,108,
2019-01-14,108,
2019-01-15,108,0
2019-01-16,108,0
2019-01-17,108,0
2019-01-18,108,
2019-01-19,108,
2019-01-20,108,
2019-01-21,108,0
2019-01-22,108,
2019-01-23,108,
2019-01-24,108,
2019-01-25,108,
2019-01-26,108,
2019-01-27,108,
2019-01-28,108,0
2019-01-29,108,
2019-01-30,108,
2019-01-31,108,
2019-02-01,108,0.3
2019-02-02,108,0
2019-02-03,108,16
2019-02-04,108,
2019-02-05,108,
2019-02-06,108,
2019-02-07,108,0.5
2019-02-08,108,
2019-02-09,108,
2019-02-10,108,
2019-02-11,108,
2019-02-12,108,0
2019-02-13,108,
2019-02-14,108,
2019-02-15,108,2.2
2019-02-16,108,0.2
2019-02-17,108,
2019-02-18,108,
2019-02-19,108,4.6
2019-02-20,108,0
2019-02-21,108,
2019-02-22,108,
2019-02-23,108,
2019-02-24,108,
2019-02-25,108,
2019-02-26,108,
2019-02-27,108,
2019-02-28,108,
2019-03-01,108,
2019-03-02,108,
2019-03-03,108,
2019-03-04,108,
2019-03-05,108,
2019-03-06,108,
2019-03-07,108,
2019-03-08,108,
2019-03-09,108,
2019-03-10,108,
2019-03-11,108,0
2019-03-12,108,0
2019-03-13,108,0
2019-03-14,108,0
2019-03-15,108,3.5
2019-03-16,108,
2019-03-17,108,
2019-03-18,108,
2019-03-19,108,
2019-03-20,108,16.5
2019-03-21,108,3.3
2019-03-22,108,
2019-03-23,108,1.7
2019-03-24,108,
2019-03-25,108,
2019-03-26,108,
2019-03-27,108,
2019-03-28,108,
2019-03-29,108,
2019-03-30,108,1.8
2019-03-31,108,0
2019-04-01,108,
2019-04-02,108,
2019-04-03,108,
2019-04-04,108,
2019-04-05,108,0
2019-04-06,108,0.8
2019-04-07,108,
2019-04-08,108,
2019-04-09,108,17.4
2019-04-10,108,5.6
2019-04-11,108,
2019-04-12,108,
2019-04-13,108,
2019-04-14,108,1.7
2019-04-15,108,
2019-04-16,108,
2019-04-17,108,
2019-04-18,108,0
2019-04-19,108,
2019-04-20,108,1.2
2019-04-21,108,0.3
2019-04-22,108,
2019-04-23,108,0
2019-04-24,108,4.1
2019-04-25,108,11.3
2019-04-26,108,4.9
2019-04-27,108,
2019-04-28,108,0
2019-04-29,108,
2019-04-30,108,
2019-05-01,108,
2019-05-02,108,
2019-05-03,108,
2019-05-04,108,
2019-05-05,108,
2019-05-06,108,0
2019-05-07,108,
2019-05-08,108,
2019-05-09,108,
2019-05-10,108,
2019-05-11,108,
2019-05-12,108,
2019-05-13,108,0
2019-05-14,108,
